H $a7b4`f : jsr  $92fa               a7 b6 02 ed Nvdizc (33)
H $92fa`f : jsr  $adec               a7 b6 02 eb Nvdizc (5a)
H $adec`f : ldy  $1b [$001b`m]       a7 b6 03 eb nvdizc (03)
H $adee`f : inc  $1b [$001b`m]       a7 b6 03 eb nvdizc (04)
H $adf0`f : lda  ($19),Y [$0703`m]   32 b6 03 eb nvdizc (32)
H $adf2`f : cmp  #$20                32 b6 03 eb nvdizC (20)
H $adf4`f : beq  $adec               32 b6 03 eb nvdizC (00)
H $adf6`f : cmp  #$2d                32 b6 03 eb nvdizC (2d)
H $adf8`f : beq  $ad8c               32 b6 03 eb nvdizC (00)
H $adfa`f : cmp  #$22                32 b6 03 eb nvdizC (22)
H $adfc`f : beq  $adc9               32 b6 03 eb nvdizC (00)
H $adfe`f : cmp  #$2b                32 b6 03 eb nvdizC (2b)
H $ae00`f : bne  $ae05               32 b6 03 eb nvdizC (01)
H $ae05`f : cmp  #$8e                32 b6 03 eb Nvdizc (8e)
H $ae07`f : bcc  $ae10               32 b6 03 eb Nvdizc (01)
H $ae10`f : cmp  #$3f                32 b6 03 eb Nvdizc (3f)
H $ae12`f : bcs  $ae20               32 b6 03 eb Nvdizc (00)
H $ae14`f : cmp  #$2e                32 b6 03 eb nvdizC (2e)
H $ae16`f : bcs  $ae2a               32 b6 03 eb nvdizC (01)
H $ae2a`f : jsr  $a07b               32 b6 03 e9 nvdizC (b1)
H $a07b`f : ldx  #$00                32 00 03 e9 nvdiZC (00)
H $a07d`f : stx  $31 [$0031`m]       32 00 03 e9 nvdiZC (00)
H $a07f`f : stx  $32 [$0032`m]       32 00 03 e9 nvdiZC (00)
H $a081`f : stx  $33 [$0033`m]       32 00 03 e9 nvdiZC (00)
H $a083`f : stx  $34 [$0034`m]       32 00 03 e9 nvdiZC (00)
H $a085`f : stx  $35 [$0035`m]       32 00 03 e9 nvdiZC (00)
H $a087`f : stx  $48 [$0048`m]       32 00 03 e9 nvdiZC (00)
H $a089`f : stx  $49 [$0049`m]       32 00 03 e9 nvdiZC (00)
H $a08b`f : cmp  #$2e                32 00 03 e9 nvdizC (2e)
H $a08d`f : beq  $a0a0               32 00 03 e9 nvdizC (00)
H $a08f`f : cmp  #$3a                32 00 03 e9 Nvdizc (3a)
H $a091`f : bcs  $a072               32 00 03 e9 Nvdizc (00)
H $a093`f : sbc  #$2f                02 00 03 e9 nvdizC (2f)
H $a095`f : bmi  $a072               02 00 03 e9 nvdizC (00)
H $a097`f : sta  $35 [$0035`m]       02 00 03 e9 nvdizC (02)
H $a099`f : iny                      02 00 04 e9 nvdizC (b1)
H $a09a`f : lda  ($19),Y [$0704`m]   0d 00 04 e9 nvdizC (0d)
H $a09c`f : cmp  #$2e                0d 00 04 e9 Nvdizc (2e)
H $a09e`f : bne  $a0a8               0d 00 04 e9 Nvdizc (01)
H $a0a8`f : cmp  #$45                0d 00 04 e9 Nvdizc (45)
H $a0aa`f : beq  $a0e1               0d 00 04 e9 Nvdizc (00)
H $a0ac`f : cmp  #$3a                0d 00 04 e9 Nvdizc (3a)
H $a0ae`f : bcs  $a0e8               0d 00 04 e9 Nvdizc (00)
H $a0b0`f : sbc  #$2f                dd 00 04 e9 Nvdizc (2f)
H $a0b2`f : bcc  $a0e8               dd 00 04 e9 Nvdizc (01)
H $a0e8`f : sty  $1b [$001b`m]       dd 00 04 e9 Nvdizc (04)
H $a0ea`f : lda  $49 [$0049`m]       00 00 04 e9 nvdiZc (00)
H $a0ec`f : ora  $48 [$0048`m]       00 00 04 e9 nvdiZc (00)
H $a0ee`f : beq  $a11f               00 00 04 e9 nvdiZc (01)
H $a11f`f : lda  $32 [$0032`m]       00 00 04 e9 nvdiZc (00)
H $a121`f : sta  $2d [$002d`m]       00 00 04 e9 nvdiZc (00)
H $a123`f : and  #$80                00 00 04 e9 nvdiZc (80)
H $a125`f : ora  $31 [$0031`m]       00 00 04 e9 nvdiZc (00)
H $a127`f : bne  $a0f5               00 00 04 e9 nvdiZc (00)
H $a129`f : lda  $35 [$0035`m]       02 00 04 e9 nvdizc (02)
H $a12b`f : sta  $2a [$002a`m]       02 00 04 e9 nvdizc (02)
H $a12d`f : lda  $34 [$0034`m]       00 00 04 e9 nvdiZc (00)
H $a12f`f : sta  $2b [$002b`m]       00 00 04 e9 nvdiZc (00)
H $a131`f : lda  $33 [$0033`m]       00 00 04 e9 nvdiZc (00)
H $a133`f : sta  $2c [$002c`m]       00 00 04 e9 nvdiZc (00)
H $a135`f : lda  #$40                40 00 04 e9 nvdizc (40)
H $a137`f : sec                      40 00 04 e9 nvdizC (60)
H $a138`f : rts                      40 00 04 eb nvdizC (a0)
H $ae2d`f : bcc  $ae43               40 00 04 eb nvdizC (00)
H $ae2f`f : rts                      40 00 04 ed nvdizC (ad)
H $92fd`f : beq  $92f7               40 00 04 ed nvdizC (00)
H $92ff`f : bmi  $92ea               40 00 04 ed nvdizC (00)
H $9301`f : jmp  $a2be               40 00 04 ed nvdizC (00)
H $a2be`f : ldx  #$00                40 00 04 ed nvdiZC (00)
H $a2c0`f : stx  $35 [$0035`m]       40 00 04 ed nvdiZC (00)
H $a2c2`f : stx  $2f [$002f`m]       40 00 04 ed nvdiZC (00)
H $a2c4`f : lda  $2d [$002d`m]       00 00 04 ed nvdiZC (00)
H $a2c6`f : bpl  $a2cd               00 00 04 ed nvdiZC (01)
H $a2cd`f : stx  $2e [$002e`m]       00 00 04 ed nvdiZC (00)
H $a2cf`f : lda  $2a [$002a`m]       02 00 04 ed nvdizC (02)
H $a2d1`f : sta  $34 [$0034`m]       02 00 04 ed nvdizC (02)
H $a2d3`f : lda  $2b [$002b`m]       00 00 04 ed nvdiZC (00)
H $a2d5`f : sta  $33 [$0033`m]       00 00 04 ed nvdiZC (00)
H $a2d7`f : lda  $2c [$002c`m]       00 00 04 ed nvdiZC (00)
H $a2d9`f : sta  $32 [$0032`m]       00 00 04 ed nvdiZC (00)
H $a2db`f : lda  $2d [$002d`m]       00 00 04 ed nvdiZC (00)
H $a2dd`f : sta  $31 [$0031`m]       00 00 04 ed nvdiZC (00)
H $a2df`f : lda  #$a0                a0 00 04 ed NvdizC (a0)
H $a2e1`f : sta  $30 [$0030`m]       a0 00 04 ed NvdizC (a0)
H $a2e3`f : jmp  $a303               a0 00 04 ed NvdizC (a0)
H $a303`f : lda  $31 [$0031`m]       00 00 04 ed nvdiZC (00)
H $a305`f : bmi  $a2ec               00 00 04 ed nvdiZC (00)
H $a307`f : ora  $32 [$0032`m]       00 00 04 ed nvdiZC (00)
H $a309`f : ora  $33 [$0033`m]       00 00 04 ed nvdiZC (00)
H $a30b`f : ora  $34 [$0034`m]       02 00 04 ed nvdizC (02)
H $a30d`f : ora  $35 [$0035`m]       02 00 04 ed nvdizC (00)
H $a30f`f : beq  $a2e6               02 00 04 ed nvdizC (00)
H $a311`f : lda  $30 [$0030`m]       a0 00 04 ed NvdizC (a0)
H $a313`f : ldy  $31 [$0031`m]       a0 00 00 ed nvdiZC (00)
H $a315`f : bmi  $a2ec               a0 00 00 ed nvdiZC (00)
H $a317`f : bne  $a33a               a0 00 00 ed nvdiZC (00)
H $a319`f : ldx  $32 [$0032`m]       a0 00 00 ed nvdiZC (00)
H $a31b`f : stx  $31 [$0031`m]       a0 00 00 ed nvdiZC (00)
H $a31d`f : ldx  $33 [$0033`m]       a0 00 00 ed nvdiZC (00)
H $a31f`f : stx  $32 [$0032`m]       a0 00 00 ed nvdiZC (00)
H $a321`f : ldx  $34 [$0034`m]       a0 02 00 ed nvdizC (02)
H $a323`f : stx  $33 [$0033`m]       a0 02 00 ed nvdizC (02)
H $a325`f : ldx  $35 [$0035`m]       a0 00 00 ed nvdiZC (00)
H $a327`f : stx  $34 [$0034`m]       a0 00 00 ed nvdiZC (00)
H $a329`f : sty  $35 [$0035`m]       a0 00 00 ed nvdiZC (00)
H $a32b`f : sec                      a0 00 00 ed nvdiZC (e9)
H $a32c`f : sbc  #$08                98 00 00 ed NvdizC (08)
H $a32e`f : sta  $30 [$0030`m]       98 00 00 ed NvdizC (98)
H $a330`f : bcs  $a313               98 00 00 ed NvdizC (01)
H $a313`f : ldy  $31 [$0031`m]       98 00 00 ed nvdiZC (00)
H $a315`f : bmi  $a2ec               98 00 00 ed nvdiZC (00)
H $a317`f : bne  $a33a               98 00 00 ed nvdiZC (00)
H $a319`f : ldx  $32 [$0032`m]       98 00 00 ed nvdiZC (00)
H $a31b`f : stx  $31 [$0031`m]       98 00 00 ed nvdiZC (00)
H $a31d`f : ldx  $33 [$0033`m]       98 02 00 ed nvdizC (02)
H $a31f`f : stx  $32 [$0032`m]       98 02 00 ed nvdizC (02)
H $a321`f : ldx  $34 [$0034`m]       98 00 00 ed nvdiZC (00)
H $a323`f : stx  $33 [$0033`m]       98 00 00 ed nvdiZC (00)
H $a325`f : ldx  $35 [$0035`m]       98 00 00 ed nvdiZC (00)
H $a327`f : stx  $34 [$0034`m]       98 00 00 ed nvdiZC (00)
H $a329`f : sty  $35 [$0035`m]       98 00 00 ed nvdiZC (00)
